title	release_date	album	lyrics
Lil’ Taste Of Poland		Man Overboard	matko boska maryjo najsliczniejsza lilijo repeats all the time
Achilles And The Tortoise		Man Overboard	this collection of sketches rough and scattered is arranged by instinct theres entropy at work but mostly it happened by accident sure a story goes with this but for it to make sense youd have to be me and for it to make dollars i would have to be something i despise dont ask me how i managed no one gets paid to make change every morning i salute the flag turn grab the fingers of my left hand behind my back and continue my search im wondering how i got here who besides me is responsible im not the young man i was when i first wrote the code now i dont have it in me to fuss over much i need sleep more than ever before what remains of my violence is so precious that i keep it all of it to myself what frightens me most now is my gradual loss of hearing so im guided more and more by vibes i shield my eyes from flickering images and document my dreams with as much detail as possible i figure ill write my book when its all i can do but i dont know have you any idea how hot these sands are ya i come in contact with the odd scavenger here and there but those encounters rarely amount to much i just gaze the same few black and white photographs distant loves long lost souls diamonds of my most glorious moments i remember the gold rush ya she makes me laugh now to think of the risks i took the monuments will remain and thats all that matters but the question always becomes am i happy  when young we mourn for one woman when we grow old for woman in general the tradgey in life is man is never free yet strives for what can never be the thing most feared in secret always happens my life my love where are they now but the more the pain grows the more this instinct for life somehow asserts itself the necessary beauty in life is giving yourself to it completely only later will it clarify itself as not coherant  i wandered the fields and listen for the sound of drums the colder the ground becomes the closer i get i home the planets not fit to roam but with all the chaos but when i saw the savages i played the law of averages and when the river splits in half i start to lose my wits and laugh and cry at the same time theres nothing i can do about it even though i wouldnt doubt it if the winds began to blow and carry the sounds of my voice to the lands below so i put my hands around my mouth and hollered to the sunken city that wallows in the filth of its own drunken pity and wait to see a signal but a signal is never seen eventually fatigue builds inside me exponentially and so i sleep and dream that im able to fly they will respect a man with wings later i awake in agony and learn that while i was sleeping the city had burned shrugging my shoulders i paused and gathered thoughts think twice about staying put then decide i rather not so i press on in my agnostic pilgrimage knowing that i can swim deeper than the grim reaper ready for whatever sea creatures may abound when the water swallows me and not the other way around survival saw me through the mechanical district starvation leads to being cannibalistic i have to rely on cons and silence and on talking quick defending myself with nothing but this walking stick ive never had friends and no parental guidance im wild at heart and weird on top im feared nonstop even though my rage is worn out my lifes a book with several pages torn out i just climb trees and look for rhythm everywhere i used to be the town crier in a city of stone throwers until my soul was laid bare and displayed in the pearled square ignored more than a lot not less no one understood my thought process i was gagged and bound over noise complaints but commanding the resolve that destroys constraints i found my escape in a melding of memories the next thing i know im rowing this boat and blowing this note on an old tarnished trumpet pause for trumpet sample ever since then ive been wandering lots watching the sky and pondering thoughts strange angel music box genie behind for some time and now im blind in one eye and how this happened exactly will never be known my thoughts take the shape of the hang mans house never fails in time traveling salesman visiting
Up The Middle		Man Overboard	yeah coming through from the 902 pop the line its buck 65 full blown combinating with johnney rockwell and the centaur double dipped yo right about this time next year certain others digging up bones  got flat chest and head like rats nest not to mention that im harder than a math test leave you lying face down naked from the waist down after that ill go back and burn your place down ill take cheese outta you handy snack then ill call your granny back gotta a great big of cash in my fanny pack a flat bus broken the angel dust smoking man with hand cuffs on just joking i describe myself as half decent sax player amateur coin collecteor john q tax player shy around girls with my face all scarred the only thing in my wallet is a baseball card i live in the city but miss farming life all i need to survive is my swiss army knife the story of my childhood is bad luck and crises born in the year of the rat and im a picses which makes me a rat fish so im gonna soon need someone to tie my shoes and spoon feed me cant wait till the day when i ride round in rocking cars wear short sleeve shirts and all i eat is chocolate bars take my place granted assume the position on top of the heap because soon the tradition winning the game of one swinging the bat will forever will be a thing of the past if i be myself ill be by myself but i dont wanna be remembered by the way ive been rendered no i dont no   they keep me couped up in this hot sweaty cage with a worn out mattress and a poster of betty page and supposed to write the great american love story why dont they sound trumpets and release flocks of doves for me ive got to be particular about how my career is handled before i record i should go and get my ears candled id like a glass of water and box of facial tissue doing what i do has never really been a racial issue someday soon though im gonna have to settle down before my bones start making that metal on metal sound the difference between me and other people is the greased palms i was never one to hold my breath when i released bombs its possible that i could be huge but i doubt it my phones off the hook but thats about it handling my biz i should really do a shipment and try and make some money to buy some new equipment with a brand new mike and a room with insulation coloured pencils all i need is inspiration which brings me back to this hot and sweaty cage the worn out mattress and the poster of betty page i look at people look at me how am i supposed to feel showing a picture that isnt even close to real the final approach is upon me i can feel it i might call this song i was right all along or i might call this song ive never had stitches or i might call it mr know it all or dont forget the chaos or two sizes too big the hydro twist the scene river creative differences no time to lose or beasts pieces
Plastic Bags		Man Overboard	plastic bags   our father who art here among us in thy name sacred and the physical humongous give us this day our daily gift of science to drop and knowledge to lift please forgive our indiscretions perversions and always grant us the insight to determine from here to kingdom come thy demands will be respected ashes to ashes and the harvest is collected thee vanquish those who tresspass against us and never trust those who must act as gangstas give us direction provide us protection and keep our temple from infection adventive today may be symmetrical the next day plays to the crank shaft the spoiler the electrical x ray
Secret Splendour		Man Overboard	the word miracle isnt really worth the same as a measure of marvel in heaven as it is on earth because extraordinary happenings are commonplace in the promised land so the precedent is modified god itself decides the phenomenom fairly fantastic in nature happens very rarely by standards set by the practicing masters of the spectactular arts in paradise as i strolled aimlessly edges of sacrement one day i wasnt looking and died by accident with sugar on my tongue and a breeze in each armpit i descended to heavan cross legged by magic carpet carried along through tunnels by a flow of waves i met this soul with the role of issuing halos his name was aurora one time bet maker everything he sang like chet baker he explained the significance of the halos intentions the way that each incriment of its dimensions bore a correlation to the core of your essence with factors including the learning of lessons things that matter the most here being reflect and direct on the gleam that youre seeing overall size of the particle density as it corresponds to the mission intensity well over 400 factors with gradiance come into play with each new halos radiance with congratualations and repeating my name he also assured me that no two are the same it allows you a glimpse of each persons spirit without having to come anywhere near it so with halo in place and my thankfulness pledged my resident status in heaven was full fledged one day in eternity after riding a teter totter with god i fell asleep with my feet in the water of a lake by a tree in a quiet little place where i could be by myself with the sun on my face a little while later i awoke to a rumbling opened my eyes to see a scene so humbling i couldnt quite catch my breath and my pulse doubled as the lake looked like it boiled as it bubbled but instead of sclading my skin it was soothing and it only felt like my imagination was melting and trickling into a pool of fluid intuition as secret splendor came to fruition my own eyes surrendered as rapture found its purpose as beautiful harmonies danced on the surface abstract shapes of all colors first did a dance and then floated from each bubbled bursted literally billions of magnificent things would quake and quiver on top of the lake i glanced left and right to see if maybe anyone else was dreaming this dream when i turned all the way with my back to the spectre i saw there an angel in the form of perfection i felt paralyzed and my voice tried to hide she glided and gently moved her hips from side to side without moving her feet her hand held out in front of her calm and collected my hopes in her palm the closer she came and something about her the most soothing sound grew louder and louder intense pleasure ran the length of my spine as i pulled her towards me with the stength of my mind when our hands finally touched she told me she loved me and the shapes from the lake filled the whole sky above me instead of our tongues we spoke with our eyes while music and color pulsed from the skys it shines our edges are dreams running lengthwise our secret wishes fluttering lightyears we fashioned inferences in disguise shapes together you are the space between my exhales our way of understanding is eyes closed navigation we twist slivers of unconsciousness into sacrement ghosts wlatz around our backs our ideas converge to form corners to hide in quicker than dreams we traded our charms then spent eternity in each others arms it was a miracle in heavan you could see it and hear it everywhere the synthesis of two souls and one spirit our halos were the exact same size
Off And Running		Man Overboard	65 6 65 65 6 6 65 6 65  6 65 6 65 buck 65 6 65 6 65 buck  unintellegable
‘Ice’	2001-03-01	Man Overboard	oh my soul my head and aching tummy why in the world was my mother taken from me up until the last minute ill be looking for best answer as hard as she tried she couldnt outrun the breast cancer what am i supposed to do i need at least another year there comes times every day i need to have my mother here i need to talk to her its important it seems to be i gotta make sure she understands how much she means to me who will be there to pick me up by the waistband plus i promised one day id take her to graceland theres things she needs to see for instance i plan on building a family of my own shes never had grandchildren she always helped to make my work around the kitchen painless i want her to see me when im finally rich and famous who will i ask my stupid questions when they come up my first impulse is that i wanna call my mom up but then im standing there holding the telephone wishing this headache would leave me the hell alone the last thing i need is for pain to fill my empty spaces and right now i feel pain in plenty of places i need to make her laugh more i wanna have pictures taken she always told her friends about the music her son richards makin i need to listen to her stories and tell her my own ones and i want her to watch when i hit lots of home runs for a few things i need to say sorry and blame me instead of yourself and as for laurie and amy ill make sure theyre okay that they always wear a seat belt i promise to ease back whenever the heats felt i wanna go home and show off this weekend but i cant and it feels like i might go off the deep end its painful being here but its unfit there my mothers gone away and nots not one bit fair
You Know The Science		Man Overboard	if youre anything like me you probably dont read the source anymore and miss crews like the jvc force dont stop show no shame dance to disco and you know the baddest djs come from san francisco but be sure to tell dj static if you see him please when youre in denmark he was robbed at the dmcs shouts out to swamp and other djs that were fronted on and all of those that like to dig for oldies yo the hunt is on im always down to make trades for shit with those in the know i just found another copy of moog indigo im on a steady look out for dope breaks non stop all i had to pay was fifty cents at a pawn shop and when it comes to being phat the best kind of weight gain has to be seeing your name up on a freight train moving galleries of steel to show the giants to the people all over the world you know the science  uh huh you know the science uh huh you know the science uh huh you know the science uh huh you know the science you get buckwild  i got the hip hop holy ghost in each one of my body parts the needle to the record cos thats when the party starts hard rocking it is hell and no way to live all the time i dont wanna dwell on the negative oh no cos i be the self fronted low professional dj 1200 hobo crew member nomad down to show alliance to those thats in it for the love you know the science  uh huh you know the science uh huh you know the science uh huh you know the science you get buckwild  rhymes to the beats and showing no signs of going soft gimme a mic and im gonna start showing off i hustle coast to coast and represent the sebutones while i write my rhymes at high noon and finetune my own style cos every now and then i talk shit and curse and swear whether i go first or last im no worse for wear and i combine scratches and complicated compositions on the radio on records or at competitions high powered going left to right and you can switch the role 33 to 45 maneuvering the pitch control to get get my daily dose of arty rock to feel revitalized and bless the microphone for the gods ive always idolized i pledge allegiance to the beat box and the enthusiasts especially the ones that are hard to please and choosiest i gotta keep hope alive for those who show defiance hip hop as a religion you know the science  you are not alone this is the language of on again off again the future and it is digital
Only War	2014-06-25	Neverlove (Deluxe Edition)	kiss it better stop the bleeding she attacks he defends and the other way around we forgot how to be friends colors change winters going our best chance has come and gone fires died lightning struck corners painted guns were drawn singing songs with smothered notes always in each others hearts always at each others throats confide confessed lied and guessed i suppose we tried our best  in the end it really doesnt matter because what we had it wasnt love only war  kiss it better like before changing like were summer moons once we fixed each others gazes and we licked each others wounds cant get you out of my system did your damage said your things sun that shines behind the clouds birds in cages spread their wings set it free send me higher bleeding heart deadly tired gently falling rain that kills the glowing flames of friendly fire  guess now it really doesnt matter because what we had it wasnt love only war  was it love only war drawing curtains closing door moments we were lonely for wishing love would show me more wishing love would show me more
She Fades	2014-09-16	Neverlove (Deluxe Edition)	dont look now its the bte noir playin flute so forget guitar things in here about to get bizzare its the wicked satyr somewhat vague now explicit later vapor lifted and liquid paper did the deed now im effed figured i was owed for the theft paris is for lovers so i left snails pace frozen glacier unsatisfied showmans nature list making and nomenclature ridin a bike with the rim warped fightin myself its a grim sport doin it all im like jim thorpe im the eyebrows noticer magical hocus pocuser vaginal hopeless focuser spaz attack and paroxysm self imposed barbaric prison working on the merit system dance moves and lyricism this aint no generic rhythm think this is esoteric listen the songbirds are deafening definitely storm clouds threatening desperately crowd forms menacing anything curious questioning furious calculate reckoning pressuring quenching refreshing armless woman rides the horse harmless both the sides endorse divide the sides divine divorce blinded driver guides the course hide your eyes and fing the source why define the different kinds of force  these days she fades she fades away x4  lightning bolt sparks the fires red lettera marked a liar time being killed and dark desires when the evil secret reached ya and to be strategic beat ya i was reading friedrich nietzsche summer ends and the leaves change angels died and the thieves came she has no heart and hes strange makes a mistake and achieves fame time and distance release pain blood on the lenses and freeze frame  these days she fades she fades away
That’s The Way Love Dies	2014-09-30	Neverlove (Deluxe Edition)	thats the way love dies it starts when youre a kid hiding in your room trying to forget decide and then assume that everyones a threat names go in a book fire in the eyes flames show in a look burns a hole right through and out the other side days were filled with shame while my mother cried i fell into a trap been in it ever since ive seen a lot of things still im unconvinced but i know the devils real hes got a pretty voice and plays the pedal steel he visits me at night when im sleeping like a log i find it hard to breathe beaten like a dog death comes from above nothing underneath another one released the number of the beast staring at the sun the need to clear the air everything at once a little here and there chorus love drained my heart dry thats the way love dies tears fall from your eyes thats the way love dies thats the way love dies yeah thats the way it goes the pounding of the drums waiting for a train   a train that never comes silence of the moon violence of the stars pedal to the floor the science of the heart picking of the flowers handling of snakes breaking of the rules gambling mistakes the ugly head is reared i wonder who to call nowhere else to turn fist goes through a wall  acting just like kids cutest little girl knife between the ribs wander in the dark pacing in a cage removal of her beauty replacing it with rage so much on her mind probably more than most run away from home turn into a ghost promise that was made that day was such a joke the whole thing disappeared in a puff of smoke  little here and there almost over night when you look away right before your eyes lying in your bed when you least expect
Love Will Fuck You Up	2014-09-30	Neverlove (Deluxe Edition)	i live in an ugly city nowhere else id rather be last one of a dying breed therell be no more after me famous and unknown its heinous so in pain but wont complain hell on earth is frozen over pretty girls all go insane the martyrdom of saint sebastian dream life of a prisoner synesthetic sinister no such thing as a good listener there was a time i was never alone now that seems like forever ago you know how to whistle dont you just put your lips together and blow chorus oh its much too much never enough or its much too much you better be careful love will fuck you up thats right no revenges no more flaming hearts not here thats right this is nowhere en plus je ne sais pas quoi dire i watch old movies terrible what men become hard as iron unreflected i never trusted anyone the lion in the snow is dying evil this life of obsession cant conceive how she must feel the fatigued wife of a question sailing toward a distant harbor where perverts play and misfits barter sunglasses and lipstick armor days they pass but it gets harder  blackened room projected image ignored by a boring girl buying flowers for no reason hiding from the warring world shadows of my former self deadly my mistake in giving everyones got their own addictions everyones got to make a living knowing hands of the blind sculptor slight the underdogs advantage sometimes we just want to leave wander into the fog and vanish i am both of your directions more mistakes more corrections wear your influence for protection now we see but a poor reflection
Ugly Bridge	2014-09-30	Neverlove (Deluxe Edition)	oh damn i wish that i were dead sleeping somewhere else instead absolutely non existant somewhere dark and distant oh to be gone away from here to completely disappear from everywhere but how would i wheres a person go to die suppose theres always bridges indifferent cold and rigid the brooklyn bridge would do the trick fly away it would be quick feeling barely touched but i love that bridge so much cause everythings beautiful from there to see the world that way is rare the airs so clean the trees so green when im walking it seem peaceful even with all those people cars go crazy underneath it all comes as some relief it would have to be some other bridge different cold and rigid an ugly one with no view such a thing i never knew i like all bridges indifferent cold and rigid theres something about them besides i want to die and cant decide and ive never seen an ugly bridge
Heart of Stone	2014-08-21	Neverlove (Deluxe Edition)	cant break a heart of stone no youre only going to hurt yourself its all or none i know because i promise you that if its meant to be its up to me memories i wont let them go im leaving here alone cant break this heart of stone  heaviest words upon my spine my mouth is broken arms are bound alarms are sounding harms around trouble comes charms abound solitary single phantom limbs that tingle a feeling in the air tonight and static in the signal i bite the dust smash the sky fight and cuss asking why my last chance passing by time to kiss your ass goodbye watch the clock see the setting sun disappearing lots of talk she regretting none but im not hearing   caught stealing revealing distraught feeling got staring at the ceiling and wounds that are not healing faking no abuses complication introduces mistaken so its useless but making no excuses im as broken as a branch didnt even have a chance from behind i am advanced slippery slope avalanche at a glance makes no sense looking from below i suppose a vote in favor though apposed a crowded room where no one goes   hard as steel blue and frozen solid no idea what im supposed to call it merciless and savage both of us were damaged maybe more than average put us at a disadvantage man cant live on art alone life becomes as hard as bone hand was tipped card was shown both forgot to guard the zone burn it all discard atone now we live apart alone empty chair regard the throne eyes on fire heart of stone
Gates Of Hell	2014-09-30	Neverlove (Deluxe Edition)	now im feeling devilish soon were going to settle this revel with the specialist several fish swam in the unprotected waters fire that swallowed the sun and rejected daughters armed to the teeth well fight em on the beaches well know weve found the perfect beat when everyone is speechless for starters dispute with martyrs wearing suits of armor listen it gets harder living beyond the pale i should have been given a ride out of town on a rail we should have climbed the summit instead we collide and plummet its a bad looking earth and this is me hiding from it cant translate the language of a man escaped i paint with mascara tears   portraits and landscapes beginning to inspire the sky to spin to my chagrin again and again and again open the gates of hell  fire  i tried to take my own life and almost got away with it paid a delayed visit decided to stay vivid here i am crooning universe parallel mannequin factory student nurse carousel giant surprises on your miniature birthday i administer first aid to a sinister mermaid post frequent showing off my most recent acquisition wearing two gloves and true love is an apparition flying across the atlantic and back fighting off demons and panic attacks waiting impatient the blood color will come feeling the beat as if your skull were a drum sometimes its hard to keep up with a pesky rhythm after the massacre laughter with sexy women music you can feel but also can taste and smell brace yourself lets open the gates of hell  fire
Neverlove	2014-09-30	Neverlove (Deluxe Edition)	back in the game on the prowl after noon lookin good in the now and i howl at the moon cock of the walk baby children aspire head full of dreams and im building a fire you just never know like taking a chance proves shirking my duties and workin on dance moves certainly dirty i swear with my life drinkin from cups i cut my hair with a knife kissin a statue gettin a tattoo see what im sayin and dont let me catch you im flippin through catalogues digitals analogues king of the scrap heaps rainin like cats and dogs comedy of oddities tragedys of thieves gather round now his majesty recieves stayin up all night until around dawn this is how its gonna be from now on  ill never love never love ill never love again ill never love never love ill never love again  johnny hollowlegs battling the elements with confidence elegance running with the elephants relevance eloquence you cant obtain mine doing absolutely everything at the same time rosebud dude drop too fast too stop get around town jumpin rooftop to rooftop i dont give a shit right now im darth vader ill eat the whole entire god damn bag of cookies mango bitches im single and dangling sampling cheese travelling trampling jumping on trampolines im inquisitive with my bag of dirt im about to get primitive high speed running from museums im pumped what the hells wrong with me it was dumped so im staying up all night until around dawn this is how its going to be from now on   the nights juggler  got my sparkle pants on and my money in a pile the cryptic misfit feelin optimistic breakin the speed limit and eatin lots of lipstick ballistic if you think im greedy youre warm im one a sun tan one man meteor storm no shirt eating fruit loops with a loose tooth cant dispute truth with mike  gold eater behold the whole east contorting myself like a key hole priest bee gees full blast forgets to remember what it was like and regrets are september surrender lets just like each other for right now paintin the town black living like a night owl staying up all night until around dawn this is how its gonna be from now on
Roses In The Rain	2014-09-09	Neverlove (Deluxe Edition)	this is where she finds herself alone and empty handed abandoned building and shes stranded chosen and demanded this is where she needs to be watching passing traffic faraway expression painted brave and laughing tragic hes the same and somewhere else in cold and blinding silence doesnt want to leave the house hes in divine defiance harmonizing unbeknown studying the ceiling theyre running for the last room everybody and concealing  roses in the rain bend or you will break the sun will rise again for roses in the rain  little birds make pretty music always tell their secrets empty beds and heavy heads were dreaming though were sleepless falling stars concentric circles roses in the rain the image of our truest self exposes in the pain looking through a photographs the melody is clarified waiting for the storm to pass like liberty is paralyzed theres a wolf that lives inside me you have got one too they recognized one another they can see right through  roses in the rain bend or you will break the sun will rise again for roses in the rain  distant lover reminisces faraway mister and missus hopelessness versus ambitious was the truth becomes fictitious embraces that heal the vicious boredom kills shes feeling listless catching birds and reeling fishes hides the truth concealing witness open heart revealing wishes temptation appealing business sits behind the wheel and listens slowly surely dealing with this passing time and healing distance almost like its really christmas drunk on love the kneeling mistress taking chances stealing kisses  roses in the rain bend or you will break the sun will rise again for roses in the rain  roses in the rain composes in the vein closes and constrains imposes on the pain roses in the rain composes in the vein closes and constrains imposes on the pain
A Case For Us	2014-09-30	Neverlove (Deluxe Edition)	maybe theres a place for us to go somewhere we can be alone where we are more than enough love will make a case for us  theres a place where we can hide concerning willing burning building though the birds all know the words quiet morning turning thrilling secret languages of the skin agonizing rising up above the din daily pain the way we shove it in its crazy but maybe we could love again super heroine injured ninjas hinges narrowing flaws may show hell disguised itself as heaven babies cry because they know the beauty of violence refined magic and science combined were immune to the divine remedies for pain remedies for long pauses remedies for rain remedies for lost causes enemies dream enemies all useless enemies scheme enemies call truces lightning emanates from your fingers tiny stars they dot your eyes youll be judged by how much love you give the world and not your lies  just to know for trust and grow maybe theres a place for us to go and wander the unknown somewhere we can be alone is it real can we trust where we are way more than enough erase adjust place your trust love will make a case for us  theres no need to bleed to death or walk the wire foolish one soon the worst part will be over april is the cruelest month wishes we forget about under beds behind our shelves sinking to the darkest depths willingly we blind ourselves crashing through branches of the tallest tree and several broke the ground below and underneath glowing red and devils smoke wondered guessed underdressed dreamer versus pessimist hanging on for dearest life dangling from a precipice when you find your dying man lay your hands upon him while you wait to hear the verdict read following your common trial sleeping on a bed of nails but i scrape by wake up then i break my only vow king midas in reverse to my dismay look up in the sky and say holy cow  just to know for trust and grow maybe theres a place for us to go and wander the unknown somewhere we can be alone is it real can we trust where we are way more than enough erase adjust place your trust love will make a case for us  fireworks severely started fade to black dearly departed room to grow its beautifully doomed but you dont know it tough love take a break respite pays fucked up suicidal desperate days the hobbyist unsatisfied slept with strays its obvious we should go our separate way  just to know for trust and grow maybe theres a place for us to go and wander the unknown somewhere we can be alone is it real can we trust where we are way more than enough erase adjust place your trust love will make a case for us
Super Pretty Naughty	2014-09-02	Neverlove (Deluxe Edition)	fancy time naked saturday wild stylin now its fancy time come on lets swim to an unknown island ding a ling rock and roll ding a ling sugar snack ding a ling wow how you like me now im a wildcat baby dont act like you never knew it if people could put rainbows in zoos they would do it  i wanna get dressed up get sexed up and cake on my birthday i wanna get messed up and get laid and cake on my birthday im gonna boom this watch and learn  scissor fight lets be mad girls its not funny its a scissor fight this daddys making honey hey do you like sports also did you used to be a baby get it from the source magic from your mouth its magic maybe secret mysteries extra flexible circus wife secrets mysteries i want to sell my perfect life   super pretty naughty magic words you gotta say twice super pretty naughty dolphins dont got no sharp teeth they nice areas i like your areas none compare im not wearing any underwear for real life
Superhero In My Heart	2014-09-30	Neverlove (Deluxe Edition)	when my baby left me i cried for an entire year shes the princess of every pony shes the girl who i like so much the psychiatrists and psychoanalysts i answer questions they help me handle this i tell charlie and paulette goddard i tell no one fuck tell a lie but dont rush because everything happens so much when it happens i take a blue one gulp i learn how to sink and like glubglubglubglubglubglub and forget to leave am i born am i born right now chain link chain link one more time friday night its cheer up day because my heads too heavy to carry on my neck invite your friends when we kill people i miss you so much i miss you so much shut your eyes and you will burst in to flames i want to start want to start all over again they go around with their heads in the air not seeming to know how to say the words kids with guns and dirty shoes clap your hands just clap your hands make awesome shapes lets make awesome shapes when the eyes are all dead then its time to go home i saw a superhero in my heart its a lonely place
Fairytales	2013-03-13	Neverlove (Deluxe Edition)	i dont believe in fairytales in love and other ghosts i dont believe in anything but us  maybe there is a right way and a wrong way to love someone a million ways to come undone everything under the sun i wont pray to aphrodite hero for protection vlg i know my name and they all face the same direction scars and rings kings in cages cracked facade stays on pages sometimes birds dont sing sometimes sky goes dark and plains enrages grief that aches brief mistakes believe that breaks beneath the lakes back and forward thief that takes hidden claws and teeth that rakes   refuse to lose yourself in someone else including me  that status in the space thats in between serenity and and words like sadness grey and red dirty water trying to sleep upon cement clean  the surface under scent receive your perfect compliment you dont have to sign your name just come home and take your shoes off nothing else will ever matter window dont blow too hard or too soft grief that aches brief mistakes believe that breaks beneath the lakes back and forward thief that takes hidden claws and teeth that rakes   i dont need to know your secrets dont want you to read my mind everything is temporary distance sequel speed times time you cant fix me please dont try besides its not up to you im addicted to the way this makes me feel so whats the use treat me like the dog i am and i will be your cocker spaniel stay by you no matter what grief that aches brief mistakes believe that breaks beneath the lakes back and forward thief that takes hidden claws and teeth that rakes
Danger And Play	2014-09-23	Neverlove (Deluxe Edition)	heres a man whos come apart pieces missing uncollected his heart breaks for total strangers hes the one thats undetected the corridor is lying fallow going blind he doesnt care to know the truth his better days are trapped in amber hard to read he lacked candor audience was rapt enamored tried to speak but cracked and stammered out of focus heres a man whos had his chance his tired legs that shook like towers antlers mounted on the wall open books that look like flowers sounds of traffic like applause roaring sons and daughters chirping the agony of priapus warring huns and water serpants salome she dances for the prisoners of heavens jails with feet that barely touch the ground seven gates seven veils one by one they fall away now shes left with secrets that could break the world indifferent and sophisticated to this day the myths debated malevolent dismissed and hated just try not to lose your head between the devil and the deep blue sea she memorized the cruelest parts desperate wishes whispered to the patron saint of foolish hearts ladies of the corridor find themselves involved disgraced call the witness to their principles and deprecate the lack of taste  ophelia the victim never asked to join this wicked threesome now shes sitting all alone at waters edge upon a tree stump listening to distant music its hard to tell is there light within her heart or is it filled with deep despair as she prepares her sleepless prayer shell pinch herself to keep aware and quietly she goes insane she wears a pretty dress her feet are bare hand picked daisies in her lap heavy eyes exhausted mind shes ready to begin her nap freezing water crystal clear ignore the pain dismiss the fear she takes a moment for herself then into nature disappears carved in stone favorited  and though preferred when the evil demons down his frightening voice cannot be heard the opposite is true as well damned to hell this fear of music dread of winter hearts turn phosphorescent soon seen through aching pains of windows dead of night and crescent moon fireworks on holidays oregon will have its bridges to carry loads and take things said and turn them into burning fires evil doesnt make things dead diamonds that we feed the oceans words of honor we rescind i was hanging in a stairwell the day she gave me to the wind
Baby Blanket	2014-09-30	Neverlove (Deluxe Edition)	i dont want to be a bad person anymore a casualty that casually fought in a friendly war now ive seen the light which makes me worse off than before and all thats left of what we had is just an empty drawer when i looked into the mirror i always acted blind my life became invisible to my distracted mind neither of us ever wants to reenact the crime now id trade my eyes if i could just go back in time jesus christ how filled with agony can dreaming be hurry mother carry me back to the screaming sea name your price because ill do anything that you desire hold me under water put my arms into the fire it would have been a huge mistake and wouldnt you agree we were making plans to turn our two into a three the only thing you left behind you bought just weeks before now youre gone and its the only thing that keeps me warm you left a baby blanket here with me i never thought itd ever happen but the system crashed disembodied voices echoed from the distant past a fire burned with too much fury for me to try and douse now i spend the endless hours in a dying house shutters cover windows wreath was taken off the door my disappearing body drags my shadow across the floor i cant tell the rooms apart thought i was lost before a black bird on a wire skeleton that washed ashore betrayal has a memory addictions dont forgive hiding from the wild and violent world in which we live cant make copies of the keys oath that was sworn opposes its in the books pages cut your fingers thrones have roses with this small reminder every night i toss and turn words i cant remember anymore are lost and burned the only thing you left behind you bought just weeks before now youre gone and its the only thing that keeps me warm you left a baby blanket here with me
Je T’aime Mon Amour	2014-09-29	Neverlove (Deluxe Edition)	je taime mon amour je taime tant cest dur de ne pas savoir te le dire if i had buster keatons fearlessness charlie chaplins charms legs like the statue of david venus de milos arms if i had michaels voice agent coopers brain id show you how i feel in all the ways i cant explain supermans shoulders wonder womans wherewithal nolan ryans fastball dondis skill with aerosol teen wolfs jump shot doc browns invention picassos paintbrush the hands of jim henson herzogs endurance isabellas fashion sense the poetry of mike tyson frank booths passion its a little bit like being blind a special kind of anguish im dying to express myself but i dont speak the language je taime mon amour je taime tant cest dur de ne pas savoir te le dire je taime mon amour je taime tous les jours mais je nai pas les mots tu sais oh je voudrais des mots doux if i had gatsbys imagination rhett butlers style sam spades determination mad maxs guile if i had apollos lyre beethovens pain id show you how i feel in all the ways i cant explain sailor ripleys jacket tony maneros necklaces billy browns boots kit carruthers recklessness betty pages bravery vin scullys mic fred astaires dancing shoes pee wee hermans bike the head of winged victory siddharthas agenda the evil of knievel the nerves of a wallenda if i had a wrecking ball if i was a genius i would find a way to smash this wall that stands between us je taime mon amour je taime tant cest dur de ne pas savoir te le dire je taime mon amour mais mes mots sont courts jaurais tant dautres choses a dire oh je voudrais des mots doux comment te dire ce que je sens et ce que je sais dis moi combien je te manques et combien je te plais oh oh mon amour je taime tant cest dur de ne pas savoir te lcrire oh mon amour je taime tant cest dur de ne pas savoir te le dire oh je voudrais des mots doux
